"%Inc Armour from Tree","방어 증가%(트리)"
"Infusion grants {0} less Damage of Types matching Supported Skill Gem's tags","Infusion grants {0} less Damage of Types matching Supported Skill Gem's tags"
"Infusion grants {0} less Lightning Damage","Infusion grants {0} less Lightning Damage"
"Infusion grants {0} more Chaos Damage","Infusion grants {0} more Chaos Damage"
"Infusion grants {0} more Damage of Types matching Supported Skill Gem's tags","Infusion grants {0} more Damage of Types matching Supported Skill Gem's tags"
"Infusion grants {0} more Lightning Damage","Infusion grants {0} more Lightning Damage"
"Infusion grants {0} of Life Regenerated per second","Infusion grants {0} of Life Regenerated per second"
"Infusion grants {0}% less Cold Damage","효과 적용 시 냉기 피해 {0}% 감폭"
"Infusion grants {0}% less Fire Damage","효과 적용 시 화염 피해 {0}% 감폭"
"Infusion grants {0}% less Physical Damage","효과 적용 시 물리 피해 {0}% 감폭"
"Infusion grants {0}% more Cold Damage","효과 적용 시 냉기 피해 {0}% 증폭"
"Infusion grants {0}% more Fire Damage","효과 적용 시 화염 피해 {0}% 증폭"
"Infusion grants {0}% more Physical Damage","효과 적용 시 물리 피해 {0}% 증폭"
"Infusion lasts {0} seconds after you finish Channelling","집중 유지를 끝낸 후 {0}초간 효과 지속"
"Inherent loss of Rage is {0} faster","기본적으로 상실하는 격노를 {0} 더 빠르게 상실"
"Initial Slam has {0}% increased Area of Effect","최초 강타의 효과 범위 {0}% 증가"
"Inner Conviction","내면의 신념(Inner Conviction)"
"Innervation lasts {0} second","{0}초간 신경 자극 지속"
"Instant Recovery","즉시 회복"
"instead grant: {0} increased Mana Cost of Skills and {1} increased Spell Damage","instead grant: {0} increased Mana Cost of Skills and {1} increased Spell Damage"
"instead grant: Minions take {0}% increased Damage","instead grant: Minions take {0}% increased Damage"
"Intelligence from Passives in Radius is Transformed to Dexterity","반경 내 패시브 스킬로 받는 지능이 민첩으로 전환"
"Intelligence provides no bonus to Maximum Mana","지능에 따른 마나 최대치 보너스 없음"
"Intimidate Enemies for 4 seconds on Hit","Intimidate Enemies for 4 seconds on Hit"
"Intimidate Enemies for 4 seconds on Hit with Attacks while at maximum Endurance Charges","최대 인내 충전 상태에서 공격 명중 시 4초 동안 적 위협"
"Intimidating Cry has {0} increased Area of Effect","Intimidating Cry has {0} increased Area of Effect"
"Intimidating Cry has {0}% increased Area of Effect","Intimidating Cry has {0}% increased Area of Effect"
"Invasion Bosses are Duplicated","침략 보스가 복제됨"
"Invasion Bosses are guarded by a Magic Pack","침략 보스를 마법 무리 1개 집단이 방어"
"Invasion Bosses drop an additional Vaal Orb","침략 보스가 바알 오브를 추가로 떨어뜨림"
"Invasion Bosses have {0} more Quantity and Rarity of dropped Items","Invasion Bosses have {0} more Quantity and Rarity of dropped Items"
"Invasion Bosses have {0}% more Quantity and Rarity of dropped Items","침략 보스가 떨어뜨리는 아이템 수량와 희귀도 {0}% 증폭"
"Iron Reflexes while stationary","정지 상태에서 철의 반사신경"
"Item drops on death","사망 시 아이템이 떨어짐"
"Item sells for much more to vendors","상인에게 더 비싸게 아이템 판매"
"Items and Gems have {0} reduced Attribute Requirements","Items and Gems have {0} reduced Attribute Requirements"
"Items and Gems have {0}% reduced Attribute Requirements","아이템 및 젬의 능력치 요구사항 {0}% 감소"
"Items cannot drop as Magic or Rare","마법 또는 희귀 아이템이 떨어지지 않음"
"Items dropped by Corrupted Vaal Monsters have {0} chance to be Corrupted","Items dropped by Corrupted Vaal Monsters have {0} chance to be Corrupted"
"Items dropped by Invasion Bosses are fully Linked","침략 보스가 완전히 연결된 아이템을 떨어뜨림"
"Items dropped by Invasion Bosses have an additional Socket","침략 보스가 떨어뜨리는 아이템에 1개의 추가 홈 있음"
"Items dropped by Rogue Exiles are fully Linked","탈주 유배자가 완전히 연결된 아이템을 떨어뜨림"
"Items dropped by Synthesised Magic Monsters are Corrupted","결합 마법 몬스터가 타락한 아이템을 떨어뜨림"
"Items dropped by Synthesised Magic Monsters have {0}% chance to be Corrupted","결합 마법 몬스터가 떨어뜨린 아이템이 타락한 아이템일 확률 {0}%"
"Items dropped by Synthesised Monsters have {0} chance to be Corrupted","Items dropped by Synthesised Monsters have {0} chance to be Corrupted"
"Items dropped by Synthesised Rare Monsters are Corrupted","결합 희귀 몬스터가 타락한 아이템을 떨어뜨림"
"Items dropped by Synthesised Rare Monsters have {0}% chance to be Corrupted","결합 희귀 몬스터가 떨어뜨린 아이템이 타락한 아이템일 확률 {0}%"
"Items in Heists drop fully linked","Items in Heists drop fully linked"
"Items in Heists drop with an additional Socket","Items in Heists drop with an additional Socket"
"Items in Heists drop with Shaper Influence","Items in Heists drop with Shaper Influence"
"Izaro deals {0} increased Damage","Izaro deals {0} increased Damage"
"Izaro deals {0}% increased Damage","Izaro deals {0}% increased Damage"
"Izaro has {0} decreased Attack, Cast, and Movement Speed","Izaro has {0} decreased Attack, Cast, and Movement Speed"
"Izaro has {0} increased Area of Effect","Izaro has {0} increased Area of Effect"
"Izaro has {0} increased maximum Life","Izaro has {0} increased maximum Life"
"Izaro has {0}% decreased Attack, Cast, and Movement Speed","Izaro has {0}% decreased Attack, Cast, and Movement Speed"
"Izaro has {0}% increased Area of Effect","Izaro has {0}% increased Area of Effect"
"Izaro has {0}% increased maximum Life","Izaro has {0}% increased maximum Life"
"Izaro will drop {0} additional Unique Items on Death","이자로가 사망 시 고유 아이템 {0}개를 추가로 떨어뜨림"
"Izaro will drop an additional Unique Item on Death","이자로가 사망 시 고유 아이템을 추가로 떨어뜨림"
"Kill Enemies that have {0} Life or lower when Hit by Supported Skills","Kill Enemies that have {0} Life or lower when Hit by Supported Skills"
"Kill Enemies that have {0}% Life or lower when Hit by Supported Skills","Kill Enemies that have {0}% Life or lower when Hit by Supported Skills"
"Killed Enemies Explode, dealing {0}% of their Life as Physical Damage","처치한 적이 폭발하여 생명력의 {0}%를 물리 피해로 줌"
"Kills grant an additional Vaal Soul if you have Rampaged Recently","최근에 광란을 보유했던 경우, 처치 시 바알 영혼을 추가로 획득"
"Kinetic Blast creates {0} additional explosions","역학 폭발이 {0}회의 추가 폭발 생성"
"Kinetic Blast has a {0}% chance for an additional explosion","역학 폭발의 1회 추가 폭발 확률 {0}%"
"Kinetic Blast Projectiles gain {0} increased Area of Effect after Forking","Kinetic Blast Projectiles gain {0} increased Area of Effect after Forking"
"Kinetic Bolt changes direction {0} additional times","Kinetic Bolt changes direction {0} additional times"
"Kinetic Bolt has {0} increased Projectile Speed","Kinetic Bolt has {0} increased Projectile Speed"
"Kinetic Bolt has {0} reduced Projectile Speed","Kinetic Bolt has {0} reduced Projectile Speed"
"Kinetic Bolt has {0}% increased Projectile Speed","Kinetic Bolt has {0}% increased Projectile Speed"
"Kinetic Bolt has {0}% reduced Projectile Speed","Kinetic Bolt has {0}% reduced Projectile Speed"
"Knocks back and Interrupts Enemies in a smaller Area","Knocks back and Interrupts Enemies in a smaller Area"
"Knocks Back Enemies if you get a Critical Strike with a Bow","활로 치명타를 가하는 경우 적을 밀어냄"
"Knocks Back Enemies if you get a Critical Strike with a Wand","마법봉으로 치명타를 가하는 경우 치명타 시 적을 밀어냄"
"Knocks Enemies Back on Hit","명중 시 적을 밀어냄"
"Knocks Enemies Back when Hit by a Staff","지팡이 공격 피격 시 적을 밀어냄"
"Labyrinth Monsters deal {0} decreased Damage","Labyrinth Monsters deal {0} decreased Damage"
"Labyrinth Monsters deal {0}% decreased Damage","Labyrinth Monsters deal {0}% decreased Damage"
"Labyrinth Monsters have {0} decreased Attack, Cast, and Movement Speed","Labyrinth Monsters have {0} decreased Attack, Cast, and Movement Speed"
"Labyrinth Monsters have {0} increased Attack, Cast, and Movement Speed","Labyrinth Monsters have {0} increased Attack, Cast, and Movement Speed"
"Labyrinth Monsters have {0}% decreased Attack, Cast, and Movement Speed","Labyrinth Monsters have {0}% decreased Attack, Cast, and Movement Speed"
"Labyrinth Monsters have {0}% increased Attack, Cast, and Movement Speed","Labyrinth Monsters have {0}% increased Attack, Cast, and Movement Speed"
"Labyrinth Traps are disabled in the Aspirant's Trial","지망자의 시험에서는 미궁 덫을 사용할 수 없음"
"Lancing Steel deals {0} increased Damage","Lancing Steel deals {0} increased Damage"
"Lancing Steel deals {0}% increased Damage","강철 관통으로 주는 피해 {0}% 증가"
"Lancing Steel fires {0} additional Projectiles","Lancing Steel fires {0} additional Projectiles"
"Lancing Steel has {0} chance count as consumeing Steel Shards without Consuming them","Lancing Steel has {0} chance count as consumeing Steel Shards without Consuming them"
"Lancing Steel's additional Projectiles have {0} chance to Impale Enemies","Lancing Steel's additional Projectiles have {0} chance to Impale Enemies"
"Lancing Steel's additional Projectiles Impale Enemies","강철 관통의 추가 투사체가 적을 꿰뚫음"
"Lancing Steel's primary Projectile Pierces 1 additional Target","강철 관통의 주 투사체가 표적 1개를 추가 관통"
"Leaves {0} fewer Lingering Blades in the ground if you don't Cast this Spell yourself","이 주문을 자신이 시전하지 않은 경우 지면에 남기는 지속되는 칼날 {0} 감폭"
"Leaves {0}% fewer Lingering Blades in the ground if you don't Cast this Spell yourself","이 주문을 자신이 시전하지 않은 경우 지면에 남기는 지속되는 칼날 {0}% 감폭"
"Leaves a Lingering Blade in the ground for every {0} Projectiles fired","발사한 투사체 {0}개당 지면에 지속되는 칼날 1개 남김"
"Leaves a Lingering Blade in the ground for every Projectile fired","Leaves a Lingering Blade in the ground for every Projectile fired"
"Leaves a Lingering Blades in the ground for every {0} Projectiles fired","Leaves a Lingering Blades in the ground for every {0} Projectiles fired"
"Leech {0} of Damage as Life against Poisoned Enemies","Leech {0} of Damage as Life against Poisoned Enemies"
"Leech {0}% of Damage as Life against Poisoned Enemies","중독된 적에게 주는 피해의 {0}%를 생명력으로 흡수"
"Leech Energy Shield instead of Life","생명력 대신 에너지 보호막 흡수"
"Leeches {0} Mana to you for each corpse Consumed","소모한 시신 하나당 {0} 마나 흡수"
"Left ring slot: {0} increased Mana Regeneration Rate","Left ring slot: {0} increased Mana Regeneration Rate"
"Left ring slot: {0} to maximum Mana","왼쪽 반지 슬롯: 마나 최대치 {0}"
"Left ring slot: {0}% increased Reflected Elemental Damage taken","왼쪽 반지 슬롯: 반사로 받는 원소 피해 {0}% 증가"
"Left ring slot: Projectiles from Spells cannot Chain","왼쪽 반지 슬롯: 주문의 투사체 연쇄 불가"
"Left ring slot: Regenerate {0} Mana per Second","Left ring slot: Regenerate {0} Mana per Second"
"Left ring slot: You and your Minions take {0} reduced Reflected Elemental Damage","Left ring slot: You and your Minions take {0} reduced Reflected Elemental Damage"
"Left ring slot: You and your Minions take {0}% reduced Reflected Elemental Damage","Left ring slot: You and your Minions take {0}% reduced Reflected Elemental Damage"
"Left Ring Slot: Your Chilling Skitterbot's Aura applies Socketed Curse instead","Left Ring Slot: Your Chilling Skitterbot's Aura applies Socketed Curse instead"
"Life and Mana Leech are instant during effect","효과를 받는 동안 생명력 및 마나 흡수가 즉시 일어남"
"Life and Mana Recovery from Flasks are instant","마나 및 생명력이 플라스크로 즉시 회복"
"Life Flasks gain {0} Charges every {1} seconds","{1}초마다 생명력 플라스크 {0} 충전"
"Life Leech effects are not removed at Full Life","생명력 흡수 효과는 최대 생명력 상태에서 제거되지 않음"
"Life Leech from Hits with this Weapon is instant","이 무기로 타격 시 생명력 흡수가 즉시 일어남"
"Life Leeched per Second is doubled","초당 생명력 흡수 두 배"
"Life Modifiers have {0} reduced Effect","Life Modifiers have {0} reduced Effect"
"Life Recovery from Flasks also applies to Energy Shield during Flask Effect","플라스크 효과를 받는 동안 플라스크로 얻는 생명력 회복이 에너지 보호막에도 적용"
"Life, Mana, Energy Shield and Flasks are not refilled in Towns","마을에서 생명력, 마나, 에너지 보호막 및 플라스크 충전 불가"
"Lightning Arrow has {0} chance to Hit an additional Enemy","Lightning Arrow has {0} chance to Hit an additional Enemy"
"Lightning Arrow hits an additional Enemy","번개 화살이 적을 추가로 타격"
